City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Saldanha,ZA,-33.0117,17.9442,60.85,76,0,26.57,clear sky
161,Boende,CD,-0.2167,20.8667,71.44,87,56,1.95,broken clouds
162,Forestville,US,38.8451,-76.875,63.93,93,40,12.66,scattered clouds
163,Raga,SS,8.4596,25.678,71.19,33,0,6.26,clear sky
164,Kilindoni,TZ,-7.9139,39.6668,81.5,75,19,13.71,few clouds
165,Piacabucu,BR,-10.4056,-36.4344,78.28,81,64,12.39,broken clouds
166,Marawi,PH,7.9986,124.2928,72.03,87,98,0.65,overcast clouds
167,Cassilandia,BR,-19.1133,-51.7342,70.11,97,100,1.57,overcast clouds
168,Kulhudhuffushi,MV,6.6221,73.07,78.42,69,22,4.36,few clouds
169,Planaltina,BR,-15.4528,-47.6142,65.73,97,82,3.06,light rain
170,Sant Julia De Loria,AD,42.4625,1.4825,38.91,77,9,6.46,clear sky
171,Grindavik,IS,63.8424,-22.4338,25.27,74,0,6.91,clear sky
172,Iguape,BR,-24.7081,-47.5553,69.46,83,100,12.26,overcast clouds
173,Irbit,RU,57.6705,63.071,-17.19,100,99,3.27,overcast clouds
174,Qandala,SO,11.472,49.8728,73.92,76,51,5.86,broken clouds
175,Bredasdorp,ZA,-34.5322,20.0403,61.03,64,100,11.18,overcast clouds
176,Mapiripan,CO,2.8892,-72.1256,79.23,60,13,5.44,few clouds
177,Butterworth,MY,5.3991,100.3638,78.84,87,20,4.61,few clouds
178,Corinto,GR,37.9407,22.9573,50.9,83,2,3.24,clear sky
179,Puteyets,RU,65.1716,57.091,-16.24,100,98,0.83,overcast clouds
180,Nouadhibou,MR,20.931,-17.0347,71.58,37,63,12.66,broken clouds
181,Acari,PE,-15.4311,-74.6158,73.42,78,61,5.23,broken clouds
182,Betare Oya,CM,5.6,14.0833,70.21,36,91,4.88,overcast clouds
183,Geraldton,AU,-28.7667,114.6,90.01,15,1,23.02,clear sky
184,Goderich,CA,43.7501,-81.7165,41.32,93,100,6.91,overcast clouds
185,Chuy,UY,-33.6971,-53.4616,65.01,63,1,9.69,clear sky
186,Andenes,NO,69.3143,16.1194,28.92,54,0,16.11,clear sky
187,Harper,LR,4.375,-7.7169,78.12,78,65,7.49,broken clouds
188,Misratah,LY,32.3754,15.0925,61.9,55,35,7.07,scattered clouds
189,Pasni,PK,25.2631,63.471,66.33,34,45,6.2,scattered clouds
190,Margate,GB,51.3813,1.3862,51.91,85,93,5.01,overcast clouds
191,Henties Bay,NA,-22.116,14.2845,62.92,91,83,8.12,broken clouds
192,Biltine,TD,14.5333,20.9167,65.03,26,32,12.95,scattered clouds
193,Oruro,BO,-17.9833,-67.15,45.16,73,92,25.88,overcast clouds
194,Ostashkov,RU,57.1467,33.1075,16.43,98,99,2.24,overcast clouds
195,Mutis,CO,6.2262,-77.4044,76.87,85,21,3.47,few clouds
196,Tandil,AR,-37.3217,-59.1332,76.68,39,0,7.92,clear sky
197,Akot,IN,21.0964,77.0586,65.34,55,64,4.74,broken clouds
198,Klaksvik,FO,62.2266,-6.589,34.72,78,65,4.09,broken clouds
199,Plettenberg Bay,ZA,-34.0527,23.3716,62.15,84,100,5.79,moderate rain
200,Sistranda,NO,63.7256,8.834,28.36,63,64,39.97,broken clouds
201,Parrita,CR,9.5201,-84.3225,77.16,84,12,2.95,few clouds
202,Ilheus,BR,-14.7889,-39.0494,82.22,78,20,6.91,few clouds
203,Guican,CO,6.4618,-72.4113,48.92,96,77,2.01,broken clouds
204,Georgetown,MY,5.4112,100.3354,78.73,87,20,4.61,few clouds
205,Makinsk,KZ,52.6292,70.4169,28.72,90,100,16.98,light snow
206,Havoysund,NO,70.9963,24.6622,26.83,82,69,6.08,broken clouds
207,Padang,ID,-0.9492,100.3543,76.23,86,88,2.95,overcast clouds
208,Taoudenni,ML,22.6783,-3.9836,62.91,17,27,11.52,scattered clouds
209,Butembo,CD,0.15,29.2833,60.06,75,54,3.15,broken clouds
210,Teguldet,RU,57.3064,88.1667,20.8,94,99,7.92,overcast clouds
211,Kovernino,RU,57.1253,43.8142,13.66,96,100,5.99,light snow
212,Beni Suef,EG,29.0731,31.0979,53.87,79,9,7.14,clear sky
213,Nelidovo,RU,56.2211,32.7774,24.35,91,98,3.71,overcast clouds
214,Tres Arroyos,AR,-38.3739,-60.2798,74.19,38,3,5.84,clear sky
215,Vardo,NO,70.3705,31.1107,30.18,74,40,12.66,light snow
216,Gat,IL,31.61,34.7642,56.39,71,56,2.68,broken clouds
217,Saint Anthony,US,45.0205,-93.218,33.26,94,100,11.5,snow
218,Synya,RU,65.3718,58.0387,-22.92,100,93,1.41,overcast clouds
219,Peski,RU,55.2163,38.7626,26.04,86,99,12.48,overcast clouds
220,Kuryk,KZ,43.2,51.65,41.61,90,19,15.05,few clouds
221,Galle,LK,6.0367,80.217,74.88,83,15,1.14,few clouds
222,Saint-Pierre,RE,-21.3393,55.4781,79.57,64,24,5.75,few clouds
223,Banda Aceh,ID,5.5577,95.3222,76.3,86,100,11.1,overcast clouds
224,Camabatela,AO,-8.1881,15.375,62.47,100,100,1.88,light rain
225,Taltal,CL,-25.4,-70.4833,66.88,79,30,2.51,scattered clouds
226,Sambava,MG,-14.2667,50.1667,74.16,87,98,6.82,overcast clouds
227,Numan,NG,9.4667,12.0333,72.03,34,15,5.32,few clouds
228,Imatra,FI,61.1719,28.7524,8.98,90,44,6.49,scattered clouds
229,Nioro,GM,13.35,-15.75,75.94,18,85,4.79,overcast clouds
230,Hambantota,LK,6.1241,81.1185,74.32,82,73,12.66,broken clouds
231,Longido,TZ,-2.7333,36.6833,63.07,85,83,5.06,broken clouds
232,Siguiri,GN,11.6667,-9.5,70.34,20,6,3.4,clear sky
233,Kathu,TH,7.9178,98.3332,76.82,79,94,11.68,overcast clouds
234,Awjilah,LY,29.1081,21.2869,53.37,64,1,6.6,clear sky
235,Dera Bugti,PK,29.0307,69.151,47.64,25,0,3.15,clear sky
236,Nieuw Nickerie,SR,5.95,-56.9833,76.33,88,100,10.67,overcast clouds
237,Deer Lake,CA,49.1667,-57.4316,28.26,80,100,14.97,light snow
238,Dudinka,RU,69.4058,86.1778,-34.38,97,10,7.27,clear sky
239,Baft,IR,29.234,56.6057,40.71,63,100,4.85,overcast clouds
240,Hauterive,FR,46.0901,3.4459,50.76,80,100,6.2,overcast clouds
241,Marsa Matruh,EG,31.3525,27.2453,57.4,82,40,9.22,scattered clouds
242,Viloco,BO,-16.95,-67.55,46.85,85,100,5.82,overcast clouds
243,Maniitsoq,GL,65.4167,-52.9,17.89,51,93,11.95,overcast clouds
244,Suzun,RU,53.7841,82.3116,18.72,94,100,10.54,light snow
245,Glossop,GB,53.4432,-1.949,50.7,85,96,19.01,overcast clouds
246,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,90,97,16.2,overcast clouds
247,Moussoro,TD,13.6408,16.4901,65.89,24,6,16.11,clear sky
248,Narsaq,GL,60.9167,-46.05,34.02,69,100,14.45,overcast clouds
249,Arlit,NE,18.7369,7.3853,62.02,24,6,7.92,clear sky
250,Raudeberg,NO,61.9875,5.1352,38.86,59,100,14.16,overcast clouds
251,Ordynskoye,RU,54.3656,81.8994,18.41,92,100,12.48,overcast clouds
252,Mahibadhoo,MV,3.7833,72.9667,80.47,69,61,13.82,broken clouds
253,Sept-Iles,CA,50.2001,-66.3821,10.4,60,20,11.5,few clouds
254,Santa Cruz,BO,-17.8,-63.1667,71.65,78,75,4.61,broken clouds
255,Aktau,KZ,43.65,51.2,43.38,84,59,14.38,broken clouds
256,Huarmey,PE,-10.0681,-78.1522,70.48,81,98,7.74,overcast clouds
257,Punta Gorda,US,26.9298,-82.0454,77.05,90,0,8.05,clear sky
258,Esmeraldas,BR,-19.7625,-44.3139,70.84,91,99,2.3,overcast clouds
259,Kislovodsk,RU,43.9133,42.7208,35.24,96,100,6.08,overcast clouds
260,Ruzomberok,SK,49.0748,19.3075,43.0,98,100,5.86,overcast clouds
261,Pervomayskiy,RU,53.2485,40.2871,28.65,83,100,12.39,overcast clouds
262,Panguipulli,CL,-39.6333,-72.3333,65.95,64,97,3.89,overcast clouds
263,Tiznit,MA,29.5833,-9.5,56.57,29,59,4.79,broken clouds
264,Caledonia,US,42.8078,-87.9242,34.92,92,100,1.99,overcast clouds
265,Kamyshin,RU,50.0983,45.416,28.24,76,76,10.09,broken clouds
266,Carutapera,BR,-1.195,-46.02,77.95,84,42,7.81,scattered clouds
267,Akhalgori,GE,42.126,44.4833,37.45,85,81,10.83,broken clouds
268,Marilia,BR,-22.2139,-49.9458,73.27,94,100,4.61,mist
269,Cavalcante,BR,-13.7975,-47.4583,68.7,93,98,1.72,overcast clouds
270,Santiago Del Estero,AR,-27.7951,-64.2615,85.73,22,0,10.2,clear sky
271,Energetik,RU,51.7445,58.7934,27.59,97,100,7.74,light snow
272,Shubarshi,KZ,48.5872,57.1869,34.07,98,100,11.36,overcast clouds
273,Los Algarrobos,PA,8.5,-82.4333,81.01,74,20,6.91,few clouds
274,Alta Floresta,BR,-9.8756,-56.0861,72.05,94,99,2.21,overcast clouds
275,Umm Lajj,SA,25.0213,37.2685,66.56,57,0,10.11,clear sky
276,Vestmannaeyjar,IS,63.4427,-20.2734,27.7,75,13,14.65,few clouds
277,Pimentel,PE,-6.8367,-79.9342,71.89,73,0,20.71,clear sky
278,Kilrush,IE,52.6397,-9.4833,49.75,93,95,10.56,overcast clouds
279,Krasnyy,RU,54.5678,31.4333,29.21,97,100,6.82,light snow
280,Praia,CV,14.9215,-23.5087,73.94,78,89,18.41,overcast clouds
281,Lagos,NG,6.5833,3.75,77.32,82,84,2.86,broken clouds
282,Atar,MR,20.5169,-13.0499,65.19,15,20,8.23,few clouds
283,Sena Madureira,BR,-9.0656,-68.6569,73.53,97,97,2.35,overcast clouds
284,Chiradzulu,MW,-15.6746,35.1407,63.81,92,100,2.91,overcast clouds
285,Itzehoe,DE,53.921,9.5153,50.4,87,100,23.38,overcast clouds
286,Lagoa,PT,39.05,-27.9833,58.57,76,100,18.28,light rain
287,Talcahuano,CL,-36.7167,-73.1167,73.08,60,0,8.05,clear sky
288,Bandarbeyla,SO,9.4942,50.8122,75.94,75,60,14.85,light rain
289,Baryshevo,RU,54.9564,83.1822,17.46,89,100,14.18,overcast clouds
290,Bar Harbor,US,44.3876,-68.2039,40.23,90,0,0.0,clear sky
291,Chaman,PK,30.9236,66.4512,39.47,34,1,2.64,clear sky
292,Lasa,IT,46.6166,10.7002,43.68,49,91,6.02,overcast clouds
293,Constantine,DZ,36.365,6.6147,47.61,93,75,2.3,light rain
294,Agadir,MA,30.4202,-9.5982,52.25,64,13,2.1,few clouds
295,Santa Marta,CO,11.2408,-74.199,82.45,69,20,18.99,few clouds
